domain,visits,users,pageviews,pageviews_per_session,avg_session_duration,bounce_rate
www.epa.gov,4439439,3077528,7382769,1.6629959325941859,214.67050371981335,0.44546596991196408
www.airnow.gov,1079336,657390,2206176,2.0440122445651769,192.97190084778325,0.60213686933447974
www.energystar.gov,630802,463932,1818791,2.8832993554237305,235.89902595228449,0.41398568806059588
nepis.epa.gov,144923,115074,426393,2.9422037909786578,184.66095410957547,0.34286483166923126
espanol.epa.gov,144818,122399,166316,1.1484483972986783,159.09474535014286,0.41982350260326756
search.epa.gov,144576,109731,197288,1.3645971668880035,127.29702491905989,0.18760375166002657
fire.airnow.gov,137718,86820,145074,1.0534134971463425,100.9623719466954,0.5193148317576497
cfpub.epa.gov,128207,95242,218208,1.7019975508357579,179.58244968154628,0.36284290249362361
echo.epa.gov,123078,83991,267799,2.1758478363314322,268.63860543491109,0.54679146557467617
portfoliomanager.energystar.gov,104089,28241,1012220,9.7245626338998363,860.44657069554921,0.24368569205199397
cumulis.epa.gov,88849,61452,305481,3.4382041441096693,313.4439288126373,0.33337460185258133
gispub.epa.gov,85394,48186,885449,10.368983769351477,582.57088554367976,0.21779047708269902
www3.epa.gov,80981,65248,202180,2.4966350131512329,259.78033255521666,0.39969869475555997
hero.epa.gov,72003,61816,79842,1.1088704637306779,138.62267190944814,0.39877505103954003
ordspub.epa.gov,52160,26227,289131,5.5431556748466262,369.94258681742735,0.24434432515337423
19january2017snapshot.epa.gov,49836,40164,62402,1.25214704229874,187.68323608339352,0.36551890199855525
netdmr.epa.gov,43288,17392,740247,17.100512844206246,886.78453184755608,0.1333163925337276
comptox.epa.gov,40399,20820,158647,3.9270031436421693,384.49575022748053,0.37550434416693484
enviro.epa.gov,34374,18869,199954,5.8170128585558851,381.19580326496765,0.2600512014894979
ejscreen.epa.gov,29189,14311,30792,1.0549179485422591,245.45615830655382,0.34160128815649732
