date,browser,visits
2023-12-20,Internet Explorer,181
2023-12-20,Mozilla Compatible Agent,146
2023-12-20,(not set),124
2023-12-20,YaBrowser,118
2023-12-19,Chrome,204336
2023-12-19,Safari,53513
2023-12-19,Edge,46478
2023-12-19,Firefox,9390
2023-12-19,Samsung Internet,2151
2023-12-19,Safari (in-app),1287
2023-12-19,Android Webview,1192
2023-12-19,Opera,842
2023-12-19,Amazon Silk,420
2023-12-19,Internet Explorer,200
2023-12-19,(not set),156
2023-12-19,Mozilla Compatible Agent,154
2023-12-19,YaBrowser,113
2023-12-18,Chrome,198956
2023-12-18,Safari,53284
2023-12-18,Edge,47385
2023-12-18,Firefox,9495
2023-12-18,Samsung Internet,2049
2023-12-18,Safari (in-app),1362
2023-12-18,Android Webview,1352
2023-12-18,Opera,855
2023-12-18,Amazon Silk,409
2023-12-18,Internet Explorer,212
2023-12-18,Mozilla Compatible Agent,181
2023-12-18,YaBrowser,108
2023-12-17,Chrome,103581
2023-12-17,Safari,47120
2023-12-17,Edge,11872
2023-12-17,Firefox,4820
2023-12-17,Samsung Internet,1985
2023-12-17,Safari (in-app),1338
2023-12-17,Android Webview,1223
2023-12-17,Opera,721
2023-12-17,Amazon Silk,444
2023-12-17,Mozilla Compatible Agent,137
2023-12-17,Internet Explorer,116
2023-12-16,Chrome,93898
2023-12-16,Safari,45295
2023-12-16,Edge,9725
2023-12-16,Firefox,4482
2023-12-16,Samsung Internet,2005
2023-12-16,Safari (in-app),1265
2023-12-16,Android Webview,1242
2023-12-16,Opera,630
2023-12-16,Amazon Silk,429
2023-12-16,Mozilla Compatible Agent,168
2023-12-15,Chrome,183532
2023-12-15,Safari,54073
2023-12-15,Edge,37744
2023-12-15,Firefox,8710
2023-12-15,Samsung Internet,2115
2023-12-15,Safari (in-app),1445
2023-12-15,Android Webview,1231
2023-12-15,Opera,879
2023-12-15,Amazon Silk,423
2023-12-15,Internet Explorer,223
2023-12-15,Mozilla Compatible Agent,161
2023-12-14,Chrome,224039
2023-12-14,Safari,58237
2023-12-14,Edge,48776
2023-12-14,Firefox,9581
2023-12-14,Samsung Internet,2191
2023-12-14,Safari (in-app),1400
2023-12-14,Android Webview,1223
2023-12-14,Opera,975
2023-12-14,Amazon Silk,440
2023-12-14,Internet Explorer,204
2023-12-14,Mozilla Compatible Agent,173
2023-12-14,YaBrowser,113
2023-12-13,Chrome,229302
2023-12-13,Safari,59456
2023-12-13,Edge,50885
2023-12-13,Firefox,9432
2023-12-13,Samsung Internet,2127
2023-12-13,Safari (in-app),1314
2023-12-13,Android Webview,1184
2023-12-13,Opera,1019
2023-12-13,Amazon Silk,396
2023-12-13,Mozilla Compatible Agent,214
2023-12-13,Internet Explorer,205
2023-12-13,YaBrowser,123
2023-12-12,Chrome,243126
2023-12-12,Safari,61607
2023-12-12,Edge,51698
2023-12-12,Firefox,9990
2023-12-12,Samsung Internet,2092
2023-12-12,Safari (in-app),1401
2023-12-12,Android Webview,1235
2023-12-12,Opera,1146
2023-12-12,Amazon Silk,413
2023-12-12,Internet Explorer,172
2023-12-12,Mozilla Compatible Agent,142
2023-12-12,YaBrowser,116
2023-12-11,Chrome,234961
2023-12-11,Safari,60509
2023-12-11,Edge,53795
2023-12-11,Firefox,10513
2023-12-11,Samsung Internet,2156
2023-12-11,Android Webview,1271
2023-12-11,Safari (in-app),1220
2023-12-11,Opera,1108
2023-12-11,Amazon Silk,435
2023-12-11,Mozilla Compatible Agent,237
2023-12-11,Internet Explorer,192
2023-12-11,YaBrowser,131
2023-12-10,Chrome,123381
2023-12-10,Safari,53337
2023-12-10,Edge,15900
2023-12-10,Firefox,5052
2023-12-10,Samsung Internet,2050
2023-12-10,Safari (in-app),1325
2023-12-10,Android Webview,1290
2023-12-10,Opera,976
2023-12-10,Amazon Silk,415
2023-12-10,Mozilla Compatible Agent,156
2023-12-10,YaBrowser,106
2023-12-09,Chrome,105135
2023-12-09,Safari,48893
2023-12-09,Edge,11755
2023-12-09,Firefox,4518
2023-12-09,Samsung Internet,1984
2023-12-09,Safari (in-app),1235
2023-12-09,Android Webview,1209
2023-12-09,Opera,694
2023-12-09,Amazon Silk,417
2023-12-09,Mozilla Compatible Agent,194
2023-12-08,Chrome,205300
2023-12-08,Safari,57514
2023-12-08,Edge,40764
2023-12-08,Firefox,8506
2023-12-08,Samsung Internet,2122
2023-12-08,Safari (in-app),1514
2023-12-08,Android Webview,1339
2023-12-08,Opera,948
2023-12-08,Amazon Silk,415
2023-12-08,Mozilla Compatible Agent,179
2023-12-08,Internet Explorer,157
2023-12-07,Chrome,244423
2023-12-07,Safari,61923
2023-12-07,Edge,51362
2023-12-07,Firefox,10628
2023-12-07,Samsung Internet,2119
2023-12-07,Safari (in-app),1352
2023-12-07,Android Webview,1332
2023-12-07,Opera,1109
2023-12-07,Amazon Silk,441
2023-12-07,(not set),189
2023-12-07,Internet Explorer,187
2023-12-07,Mozilla Compatible Agent,157
2023-12-07,YaBrowser,117
2023-12-06,Chrome,263406
2023-12-06,Safari,71751
2023-12-06,Edge,54346
2023-12-06,Firefox,11350
2023-12-06,Samsung Internet,2198
2023-12-06,Android Webview,1831
2023-12-06,Safari (in-app),1429
2023-12-06,Opera,1179
2023-12-06,Amazon Silk,416
2023-12-06,Internet Explorer,170
2023-12-06,Mozilla Compatible Agent,168
2023-12-06,YaBrowser,125
2023-12-05,Chrome,250675
2023-12-05,Safari,67204
2023-12-05,Edge,55786
2023-12-05,Firefox,10779
2023-12-05,Samsung Internet,2230
2023-12-05,Safari (in-app),1817
2023-12-05,Android Webview,1455
2023-12-05,Opera,1147
2023-12-05,Amazon Silk,446
2023-12-05,Internet Explorer,185
2023-12-05,Mozilla Compatible Agent,172
2023-12-05,YaBrowser,112
2023-12-04,Chrome,257713
2023-12-04,Safari,66547
2023-12-04,Edge,57476
2023-12-04,Firefox,11411
2023-12-04,Samsung Internet,2204
2023-12-04,Safari (in-app),2029
2023-12-04,Android Webview,1533
2023-12-04,Opera,1329
2023-12-04,Amazon Silk,439
2023-12-04,Mozilla Compatible Agent,194
2023-12-04,Internet Explorer,190
2023-12-04,YaBrowser,148
2023-12-04,(not set),106
2023-12-03,Chrome,134478
2023-12-03,Safari,55858
2023-12-03,Edge,18173
2023-12-03,Firefox,5915
2023-12-03,Safari (in-app),2254
2023-12-03,Samsung Internet,2246
2023-12-03,Android Webview,1430
2023-12-03,Opera,965
2023-12-03,Amazon Silk,469
2023-12-03,Mozilla Compatible Agent,194
2023-12-02,Chrome,107827
2023-12-02,Safari,55376
2023-12-02,Edge,13166
2023-12-02,Firefox,5007
2023-12-02,Safari (in-app),2662
2023-12-02,Samsung Internet,2166
2023-12-02,Android Webview,1368
2023-12-02,Opera,859
2023-12-02,Amazon Silk,483
2023-12-02,Mozilla Compatible Agent,201
2023-12-01,Chrome,209695
2023-12-01,Safari,60739
2023-12-01,Edge,42545
2023-12-01,Firefox,9141
2023-12-01,Samsung Internet,2170
2023-12-01,Safari (in-app),1705
2023-12-01,Android Webview,1295
2023-12-01,Opera,1025
2023-12-01,Amazon Silk,449
2023-12-01,Mozilla Compatible Agent,173
2023-12-01,Internet Explorer,140
2023-12-01,YaBrowser,108
2023-11-30,Chrome,281433
2023-11-30,Safari,71761
2023-11-30,Edge,58463
2023-11-30,Firefox,11200
2023-11-30,Samsung Internet,2603
2023-11-30,Safari (in-app),2472
2023-11-30,Android Webview,1837
2023-11-30,Opera,1339
2023-11-30,Amazon Silk,471
2023-11-30,Mozilla Compatible Agent,213
2023-11-30,Internet Explorer,187
2023-11-30,YaBrowser,132
2023-11-29,Chrome,274794
2023-11-29,Safari,70610
2023-11-29,Edge,53796
2023-11-29,Firefox,11475
2023-11-29,Samsung Internet,2541
2023-11-29,Safari (in-app),2302
2023-11-29,Android Webview,1775
2023-11-29,Opera,1328
2023-11-29,Amazon Silk,483
2023-11-29,Mozilla Compatible Agent,238
2023-11-29,Internet Explorer,207
2023-11-29,YaBrowser,131
2023-11-28,Chrome,275153
2023-11-28,Safari,71066
2023-11-28,Edge,57211
2023-11-28,Firefox,11812
2023-11-28,Samsung Internet,2595
2023-11-28,Safari (in-app),2212
2023-11-28,Android Webview,1784
2023-11-28,Opera,1256
2023-11-28,Amazon Silk,487
2023-11-28,Mozilla Compatible Agent,241
2023-11-28,Internet Explorer,186
2023-11-28,YaBrowser,121
2023-11-28,(not set),107
2023-11-27,Chrome,265893
2023-11-27,Safari,72646
2023-11-27,Edge,54738
2023-11-27,Firefox,11426
2023-11-27,Samsung Internet,2522
