domain,page,page_title,pageviews
www.airnow.gov,www.airnow.gov/,AirNow.gov,320955
www.airnow.gov,www.airnow.gov/aqi/aqi-basics/,"AQI Basics | AirNow.gov",75267
widget.airnow.gov,widget.airnow.gov/aq-dial-widget/,Dial Widget from AirNow.gov,61129
www.epa.gov,www.epa.gov/,"U.S. Environmental Protection Agency | US EPA",54588
widget.airnow.gov,widget.airnow.gov/aq-dial-widget-signage/,Dial Widget from AirNow.gov,49398
gispub.epa.gov,gispub.epa.gov/airnow/,AirNow Interactive Map,43764
portfoliomanager.energystar.gov,portfoliomanager.energystar.gov/pm/home,ENERGY STAR Portfolio Manager: My Portfolio,36637
fire.airnow.gov,fire.airnow.gov/,Fire and Smoke Map,27261
www.energystar.gov,www.energystar.gov/rebate-finder,"Special Offers and Rebates from ENERGY STAR Partners | EPA ENERGY STAR",26844
www.energystar.gov,www.energystar.gov/,"ENERGY STAR | The simple choice for energy efficiency.",24886
www.epa.gov,www.epa.gov/enforcement/fuel-waivers,"Fuel Waivers | US EPA",24615
www.epa.gov,www.epa.gov/renewable-fuel-standard-program/news-notices-and-announcements-renewable-fuel-standard,"News, Notices and Announcements for the Renewable Fuel Standard | US EPA",24472
www.epa.gov,www.epa.gov/fuels-registration-reporting-and-compliance-help,"Fuels Registration, Reporting, and Compliance Help | US EPA",21750
netdmr.epa.gov,netdmr.epa.gov/netdmr-web/protected/edit_dmr.htm,Edit DMR,20401
enviro.epa.gov,enviro.epa.gov/envirofacts/uv/search/results/zipcode/45349,"UV Index Search | Envirofacts | US EPA",18723
search.epa.gov,search.epa.gov/epasearch/?query=+renewable+fuel+standard+program+2022+announcements+renewable+fuel+standard,US EPA Search,18176
netdmr.epa.gov,netdmr.epa.gov/netdmr-web/protected/search_dmr.htm,Edit DMR,17238
www.energystar.gov,www.energystar.gov/about/federal_tax_credits/non_business_energy_property_tax_credits,"Tax Credits for Homeowners | ENERGY STAR",15169
www.energystar.gov,www.energystar.gov/productfinder/product/certified-water-heaters/results,"ENERGY STAR Certified Water Heaters | EPA ENERGY STAR",14993
portfoliomanager.energystar.gov,portfoliomanager.energystar.gov/pm/login,ENERGY STAR Portfolio Manager: Login,13193
