exit_page,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
studentaid.gov/fsa-id/sign-in,4726983,10943273,3516479,2.3150650213889072,336.87575732766544,4726983
eric.ed.gov/,2597736,6514071,1700016,2.5075954600467485,192.57875819559803,2597736
studentaid.gov/h/apply-for-aid/fafsa,1621735,4073828,1333705,2.5120183013870947,235.05828757472707,1621735
studentaid.gov/,1222164,2125440,986841,1.739079207045863,151.93870871666977,1222164
studentaid.gov/aid-summary,689563,2333863,612264,3.3845536956014173,382.5042178887208,689563
studentaid.gov/announcements-events/save-plan,500896,1118742,432240,2.23348160097106,212.62325512681275,500896
studentaid.gov/manage-loans/repayment/servicers,394616,620628,338335,1.5727390678533055,90.9273800352748,394616
studentaid.gov/announcements-events/fafsa-support,270251,707988,238521,2.6197423876322383,164.75606380734948,270251
studentaid.gov/fsa-id/create-account,254186,624806,220749,2.458066140542752,288.98692296192553,254186
studentaid.gov/manage-loans/forgiveness-cancellation/public-service,232479,512160,200144,2.2030376937271754,201.19270987917187,232479
studentaid.gov/announcements-events/idr-account-adjustment,217999,327327,187036,1.5015068876462736,111.13182629278116,217999
nces.ed.gov/ccd/schoolsearch/school_detail.asp,202088,526565,179479,2.6056223031550614,98.76377122837576,202088
studentaid.gov/loan-simulator,197888,680725,189468,3.4399508813065975,419.9250485122898,197888
studentaid.gov/loan-simulator/,189432,305976,169272,1.615228683643735,115.64655918746568,189432
studentaid.gov/help-center/contact,182141,509351,145813,2.7964653757253997,292.4044449080657,182141
studentaid.gov/fsa-id/sign-in/landing,178076,407239,169568,2.286883128551854,538.1990273815675,178076
studentaid.gov/manage-loans/forgiveness-cancellation,172282,391215,151437,2.2707827863618952,210.55980891793686,172282
ed.gov/,171205,234281,146221,1.368423819397798,50.48517274612307,171205
nces.ed.gov/nceskids/createagraph/default.aspx,158035,1097261,112891,6.943151833454614,504.41052931312686,158035
studentaid.gov/mpn,145121,485191,126613,3.343354855603255,542.4309231606728,145121
