date,browser,os,visits
2023-12-30,Edge,Macintosh,297
2023-12-30,Opera,Android,170
2023-12-30,Firefox,Linux,161
2023-12-30,Mozilla Compatible Agent,Macintosh,158
2023-12-30,Opera,Macintosh,150
2023-12-30,(not set),(not set),138
2023-12-30,Samsung Internet,Linux,134
2023-12-29,Safari,iOS,228212
2023-12-29,Chrome,Windows,144948
2023-12-29,Chrome,Android,65595
2023-12-29,Chrome,Macintosh,63780
2023-12-29,Safari,Macintosh,62730
2023-12-29,Edge,Windows,56939
2023-12-29,Chrome,iOS,28467
2023-12-29,Chrome,Chrome OS,16985
2023-12-29,Chrome,Linux,11218
2023-12-29,Firefox,Windows,7455
2023-12-29,Samsung Internet,Android,5364
2023-12-29,Safari (in-app),iOS,3583
2023-12-29,Firefox,Macintosh,3042
2023-12-29,Opera,Windows,1316
2023-12-29,Android Webview,Android,1255
2023-12-29,Firefox,Android,570
2023-12-29,Edge,Android,547
2023-12-29,Amazon Silk,Android,342
2023-12-29,Edge,Macintosh,286
2023-12-29,Firefox,Linux,192
2023-12-29,Mozilla Compatible Agent,Macintosh,191
2023-12-29,(not set),(not set),176
2023-12-29,Samsung Internet,Linux,133
2023-12-29,Opera,Android,131
2023-12-28,Safari,iOS,237012
2023-12-28,Chrome,Windows,166568
2023-12-28,Chrome,Macintosh,70582
2023-12-28,Safari,Macintosh,67778
2023-12-28,Chrome,Android,67615
2023-12-28,Edge,Windows,67177
2023-12-28,Chrome,iOS,29517
2023-12-28,Chrome,Chrome OS,18727
2023-12-28,Chrome,Linux,11860
2023-12-28,Firefox,Windows,9495
2023-12-28,Samsung Internet,Android,5899
2023-12-28,Safari (in-app),iOS,3710
2023-12-28,Firefox,Macintosh,2647
2023-12-28,Opera,Windows,1481
2023-12-28,Android Webview,Android,1303
2023-12-28,Edge,Android,620
2023-12-28,Firefox,Android,549
2023-12-28,Edge,Macintosh,366
2023-12-28,Amazon Silk,Android,349
2023-12-28,Mozilla Compatible Agent,Macintosh,174
2023-12-28,(not set),(not set),161
2023-12-28,Firefox,Linux,158
2023-12-28,Opera,Android,145
2023-12-28,Samsung Internet,Linux,131
2023-12-28,Opera,Macintosh,126
2023-12-27,Safari,iOS,232037
2023-12-27,Chrome,Windows,164609
2023-12-27,Chrome,Android,67887
2023-12-27,Chrome,Macintosh,66538
2023-12-27,Edge,Windows,65907
2023-12-27,Safari,Macintosh,64045
2023-12-27,Chrome,iOS,29475
2023-12-27,Chrome,Chrome OS,17725
2023-12-27,Chrome,Linux,11885
2023-12-27,Firefox,Windows,8500
2023-12-27,Samsung Internet,Android,5864
2023-12-27,Safari (in-app),iOS,3802
2023-12-27,Firefox,Macintosh,2567
2023-12-27,Opera,Windows,1283
2023-12-27,Android Webview,Android,1158
2023-12-27,Edge,Android,705
2023-12-27,Firefox,Android,598
2023-12-27,Edge,Macintosh,331
2023-12-27,Amazon Silk,Android,322
2023-12-27,Mozilla Compatible Agent,Macintosh,185
2023-12-27,Firefox,Linux,173
2023-12-27,(not set),(not set),165
2023-12-27,Opera,Macintosh,130
2023-12-27,Samsung Internet,Linux,127
2023-12-27,Opera,Android,114
2023-12-26,Safari,iOS,163049
2023-12-26,Chrome,Windows,113903
2023-12-26,Chrome,Macintosh,51545
2023-12-26,Chrome,Android,49963
2023-12-26,Safari,Macintosh,49795
2023-12-26,Edge,Windows,47999
2023-12-26,Chrome,iOS,21387
2023-12-26,Chrome,Chrome OS,13304
2023-12-26,Chrome,Linux,11595
2023-12-26,Firefox,Windows,6170
2023-12-26,Samsung Internet,Android,4186
2023-12-26,Safari (in-app),iOS,2449
2023-12-26,Firefox,Macintosh,1783
2023-12-26,Opera,Windows,1044
2023-12-26,Android Webview,Android,922
2023-12-26,Edge,Android,462
2023-12-26,Firefox,Android,440
2023-12-26,Amazon Silk,Android,274
2023-12-26,Edge,Macintosh,244
2023-12-26,Mozilla Compatible Agent,Macintosh,174
2023-12-26,(not set),(not set),173
2023-12-26,Firefox,Linux,164
2023-12-26,Samsung Internet,Linux,112
2023-12-25,Safari,iOS,88651
2023-12-25,Chrome,Android,35581
2023-12-25,Chrome,Windows,35212
2023-12-25,Safari,Macintosh,21766
2023-12-25,Chrome,Macintosh,20983
2023-12-25,Edge,Windows,14694
2023-12-25,Chrome,iOS,12526
2023-12-25,Chrome,Linux,11225
2023-12-25,Chrome,Chrome OS,5552
2023-12-25,Samsung Internet,Android,2488
2023-12-25,Firefox,Windows,1935
2023-12-25,Safari (in-app),iOS,984
2023-12-25,Firefox,Macintosh,673
2023-12-25,Opera,Windows,578
2023-12-25,Android Webview,Android,517
2023-12-25,Edge,Android,299
2023-12-25,Firefox,Android,244
2023-12-25,(not set),(not set),151
2023-12-25,Mozilla Compatible Agent,Macintosh,128
2023-12-25,Amazon Silk,Android,122
2023-12-24,Safari,iOS,83996
2023-12-24,Chrome,Windows,34969
2023-12-24,Chrome,Android,29954
2023-12-24,Safari,Macintosh,19198
2023-12-24,Chrome,Macintosh,18881
2023-12-24,Edge,Windows,13454
2023-12-24,Chrome,iOS,12944
2023-12-24,Chrome,Linux,11296
2023-12-24,Chrome,Chrome OS,4893
2023-12-24,Samsung Internet,Android,2523
2023-12-24,Firefox,Windows,2091
2023-12-24,Safari (in-app),iOS,1255
2023-12-24,Firefox,Macintosh,627
2023-12-24,Opera,Windows,599
2023-12-24,Android Webview,Android,586
2023-12-24,Edge,Android,304
2023-12-24,Firefox,Android,287
2023-12-24,(not set),(not set),138
2023-12-24,Amazon Silk,Android,129
2023-12-23,Safari,iOS,108964
2023-12-23,Chrome,Windows,46775
2023-12-23,Chrome,Android,35713
2023-12-23,Chrome,Macintosh,27184
2023-12-23,Safari,Macintosh,25304
2023-12-23,Edge,Windows,18526
2023-12-23,Chrome,iOS,15650
2023-12-23,Chrome,Linux,10841
2023-12-23,Chrome,Chrome OS,6807
2023-12-23,Firefox,Windows,3082
2023-12-23,Samsung Internet,Android,2998
2023-12-23,Safari (in-app),iOS,1884
2023-12-23,Firefox,Macintosh,946
2023-12-23,Opera,Windows,775
2023-12-23,Android Webview,Android,752
2023-12-23,Edge,Android,361
2023-12-23,Firefox,Android,344
2023-12-23,Amazon Silk,Android,165
2023-12-23,(not set),(not set),146
2023-12-23,Mozilla Compatible Agent,Macintosh,123
2023-12-23,Edge,Macintosh,117
2023-12-22,Safari,iOS,147268
2023-12-22,Chrome,Windows,101863
2023-12-22,Chrome,Android,47044
2023-12-22,Chrome,Macintosh,41576
2023-12-22,Safari,Macintosh,37925
2023-12-22,Edge,Windows,37489
2023-12-22,Chrome,iOS,20423
