domain,visits
www4.pagefreezer.com,16
www2.ed.gov,261286
www.whitehouse.gov,4
www.ssa.gov,10
www.ojp.gov,4
www.nationsreportcard.gov,3901
www.nasa.gov,3
www.nagb.gov,2121
www.lincs.ed.gov,22
www.justice.gov,4
www.g5.gov,20
www.ed.gov,177093
www.ecfr.gov,2
www.dol.gov,3
www.census.gov,7
www.cdc.gov,16
www.benefits.va.gov,2
www.acf.hhs.gov,4
wioaplans.ed.gov,3459
webcache.googleusercontent.com,15
training3.msix.ed.gov,42
training.msix.ed.gov,17
tools.usps.com,12
test.www.ed.gov,18
test.sites.ed.gov,3
test.msix.ed.gov,16
test.financialaidtoolkit.ed.gov,29
tech.ed.gov,9241
studentprivacy.ed.gov,19203
studentaid.gov,16048793
stage.oha.ed.gov,2
slds.ed.gov,663
sites.ed.gov,143287
search.usa.gov,23
rsa.ed.gov,5162
preview.www2.ed.gov,150
perkins.ed.gov,356
osep.communities.ed.gov,187
ojp.gov,6
oighotlineportal.ed.gov,593
oha.ed.gov,533
oese.ed.gov,40226
ocrdata.ed.gov,232
ocrcasdev.lab.ed.gov,2
ocrcas.ed.gov,3269
nrs.ed.gov,1235
ncua.gov,5
nceo.communities.ed.gov,12
nationalblueribbonschools.ed.gov,4530
msix.ed.gov,1467
mf.dev.nrs.ed.gov,19
lincs.ed.gov,6058
impactaid.ed.gov,929
icrasdev.ed.gov,22
icras.ed.gov,81
g5trng.dectest.ed.gov,2
g5.gov,116
financialaidtoolkit.ed.gov,37355
emaps.ed.gov,1031
eed.communities.ed.gov,108
edpass.ed.gov,2
edfacts.communities.ed.gov,691
eddataexpress.stage.ed.gov,22
eddataexpress.ed.gov,670
eddataexpress.dev.ed.gov,14
easie.communities.ed.gov,197
dev1.nrs.ed.gov,6
dev.www.ed.gov,3
dev.sites.ed.gov,2
dev.nrs.ed.gov,2
dev.financialaidtoolkit.ed.gov,2
dev.contentstage.www.ed.gov,9
datareview.msix.ed.gov,30
data.ed.gov,9
cte.ed.gov,3201
crdc.communities.ed.gov,7785
cpo.communities.ed.gov,13
covidreliefdata.ed.gov,25
covid-relief-data.ed.gov,1996
courses.lincs.ed.gov,1189
comps.ed.gov,44
comps-dev.ed.gov,33
community.lincs.ed.gov,2237
collegescorecard.ed.gov,41097
civilrightsdata.ed.gov,2944
ciidta.communities.ed.gov,61
charterschoolcenter.ed.gov,1573
ceds.communities.ed.gov,69
bpvhxwvsql311.lab.ed.gov,179
blog.studentaid.gov,3
blog.ed.gov,35444
author.nagb.org,5
app.origin.studentaid.gov,651
app-test5-dcc.ed.gov,7
app-test3-dcc.ed.gov,208
app-test2-dcc.ed.gov,3
app-test1-dcc.ed.gov,10
aefla.ed.gov,582
