source,session_default_channel_group,visits,pageviews,users,pageviews_per_session,avg_session_duration,bounce_rate
google,Organic Search,96073184,145780758,73460565,1.5173928033862185,181.49551571851237,0.39024564856724225
(direct),Direct,45074085,90404895,35131806,2.0056956231058267,177.83333759572773,0.531094419332084
(other),(other),48046747,32445583,39008538,0.67529198178598859,70.3934929568579,0.47769833408284645
bing,Organic Search,4138529,10040305,2451376,2.4260564562915956,313.4136154907473,0.32509111329170343
google,Paid Search,2548330,3703404,1841419,1.4532670415527031,153.24885572490965,0.55123473019585378
(not set),Unassigned,1215155,3308301,1168536,2.722534162308512,303.03927771222192,0.99841337113372364
govdelivery,Email,1225294,2861094,918656,2.3350265324077322,256.98421924273441,0.39418294711310103
yahoo,Organic Search,867667,1825993,641282,2.1044859375774347,265.35136484444149,0.31607748133788655
YouTube,Paid Video,1276524,1289519,1218579,1.0101799887820362,18.262744539861373,0.943374350971858
duckduckgo,Organic Search,626384,1139947,486347,1.8198852461110118,202.00695718045321,0.33216365679838566
(unlinked SA360 account),Unassigned,258219,451873,205580,1.749960305012412,214.34511946153847,0.33934760803813818
baidu,Organic Search,61993,417944,32308,6.7417934282902907,540.31287198677273,0.34344200151630022
mplusconnect,Unassigned,161496,295100,117281,1.8272898399960371,228.07388404190817,0.42823351661960668
bing,Paid Search,100693,253640,76868,2.5189437200202596,357.73546697823093,0.24663084822182277
Google,Display,162620,167991,147400,1.0330279178452835,34.007755070594023,0.893844545566351
Facebook,Paid Social,151462,150963,151702,0.99670544426984986,22.874847076005864,0.82558001346872478
FB/IG,Paid Social,114556,112250,115340,0.97987010719648038,2.2683993144575578,0.9811533223925416
Snapchat,Paid Social,104057,102963,104911,0.98948653142027931,2.9652574137828305,0.98127949104817547
ecosia.org,Organic Search,37945,83166,27874,2.1917512188694164,245.81882546127289,0.27608380550797207
PaidVideo;7487442,Unassigned,63414,69970,59228,1.1033841107641846,38.03332080428612,0.8686725328791749
