domain,visits,users,pageviews,pageviews_per_session,avg_session_duration,bounce_rate
www.cdc.gov,45977806,36028440,72936271,1.5861852346760521,180.58832665712998,0.43335638938491322
medlineplus.gov,32093937,25857723,38124980,1.1878835245423458,136.24119588145155,0.44462815515591
www.fda.gov,14211507,10872297,22481402,1.5817067113290659,151.36672040510663,0.47743740336615953
www.healthcare.gov,13123894,9212928,18031122,1.3739027456332702,146.81000603571903,0.60934300444669853
www.nhlbi.nih.gov,6652491,4853687,8849601,1.3302298342079681,128.91850815619676,0.52056500339496892
www.medicare.gov,6439263,4062352,17129812,2.6601283407744023,360.16946773545715,0.3769446907200405
www.cancer.gov,4547735,3769095,5780667,1.2706199899510415,160.86572946788615,0.44161478186393888
www.cms.gov,4407875,3150716,9278105,2.1045864503870915,208.95531959697175,0.47212704534497918
www.niddk.nih.gov,3679755,3066257,4393018,1.1937479533284145,143.66893523992579,0.440485304048775
www.covid.gov,2934042,2649050,3831245,1.3057764680941855,86.269179010755053,0.53617398796608906
www.accessdata.fda.gov,2206843,1172426,11016063,4.991020203974637,330.93662300235559,0.30918012744903012
www.hhs.gov,2145010,1723878,4112152,1.916224632985394,155.04187513404256,0.48398655484123615
vsearch.nlm.nih.gov,1912195,1565299,2976532,1.5493247289110159,125.80686897027437,0.46683889456880706
nida.nih.gov,1738477,1403841,2488608,1.4314328000888135,175.96560188356034,0.45568333662165217
dailymed.nlm.nih.gov,1708464,1061843,3221384,1.8814771631125971,231.38097100407208,0.4580933516890025
www.nimh.nih.gov,1684324,1311365,2003305,1.189262279703905,169.80463505024966,0.5026431969146079
www.samhsa.gov,1536703,1193864,2279640,1.483244973166578,149.78271019647602,0.48621952322602352
www.nia.nih.gov,1359973,1130259,1698949,1.2490571503993093,172.27926014051158,0.44067492516395546
exclusions.oig.hhs.gov,1346986,732487,6119305,4.5429618422166227,332.51740606395475,0.19059143896076128
www.ninds.nih.gov,1328914,1070348,1417439,1.0665076897376353,137.08382151731959,0.534853271167284
