date,browser,os,visits
2024-01-04,Safari,iOS,1122306
2024-01-04,Chrome,Windows,1111534
2024-01-04,Chrome,Android,619654
2024-01-04,Edge,Windows,479373
2024-01-04,Safari,Macintosh,348775
2024-01-04,Chrome,Macintosh,171552
2024-01-04,Chrome,iOS,150821
2024-01-04,Chrome,Chrome OS,140800
2024-01-04,Firefox,Windows,128276
2024-01-04,Chrome,Linux,115452
2024-01-04,Internet Explorer,Windows,71504
2024-01-04,Samsung Internet,Android,64391
2024-01-04,Safari (in-app),iOS,32757
2024-01-04,Firefox,Macintosh,25428
2024-01-04,Android Webview,Android,21537
2024-01-04,Amazon Silk,Android,19084
2024-01-04,Firefox,Android,13951
2024-01-04,Firefox,Linux,12204
2024-01-04,Safari,Linux,6136
2024-01-04,Opera,Windows,5349
2024-01-04,(not set),(not set),4469
2024-01-04,Edge,Android,3800
2024-01-04,Samsung Internet,Linux,2409
2024-01-04,Mozilla Compatible Agent,Macintosh,1847
2024-01-04,Chrome,(not set),1702
2024-01-04,Opera,Android,1566
2024-01-04,Edge,Macintosh,1528
2024-01-04,Opera,Macintosh,455
2024-01-04,Samsung Internet,Tizen,446
2024-01-04,Edge,Linux,416
2024-01-04,Firefox,OS/2,384
2024-01-04,YaBrowser,Windows,381
2024-01-04,Firefox,Firefox OS,243
2024-01-04,Whale Browser,Windows,242
2024-01-04,Chrome,Fuchsia,187
2024-01-04,PaleMoon,Windows,186
2024-01-04,Opera,Linux,173
2024-01-04,SeaMonkey,Windows,172
2024-01-04,Mozilla Compatible Agent,(not set),170
2024-01-04,Whale Browser,Android,137
2024-01-04,UC Browser,Android,125
2024-01-04,Safari,Playstation 4,109
2024-01-04,(not set),iOS,107
2024-01-04,Mozilla,Windows,106
2024-01-04,DuckDuckGo Browser,iOS,104
2024-01-03,Chrome,Windows,1048896
2024-01-03,Safari,iOS,1029547
2024-01-03,Chrome,Android,584620
2024-01-03,Edge,Windows,437331
2024-01-03,Safari,Macintosh,326362
2024-01-03,Chrome,Macintosh,162681
2024-01-03,Chrome,iOS,134057
2024-01-03,Chrome,Chrome OS,125533
2024-01-03,Firefox,Windows,123866
2024-01-03,Chrome,Linux,114829
2024-01-03,Internet Explorer,Windows,59083
2024-01-03,Samsung Internet,Android,58843
2024-01-03,Safari (in-app),iOS,27628
2024-01-03,Firefox,Macintosh,24424
2024-01-03,Android Webview,Android,19160
2024-01-03,Amazon Silk,Android,17998
2024-01-03,Firefox,Android,13257
2024-01-03,Firefox,Linux,11450
2024-01-03,Safari,Linux,6109
2024-01-03,Opera,Windows,5112
2024-01-03,(not set),(not set),4269
2024-01-03,Edge,Android,3700
2024-01-03,Samsung Internet,Linux,2262
2024-01-03,Chrome,(not set),1774
2024-01-03,Mozilla Compatible Agent,Macintosh,1615
2024-01-03,Opera,Android,1578
2024-01-03,Edge,Macintosh,1443
2024-01-03,Samsung Internet,Tizen,421
2024-01-03,Opera,Macintosh,396
2024-01-03,Firefox,OS/2,336
2024-01-03,Edge,Linux,329
2024-01-03,YaBrowser,Windows,301
2024-01-03,Whale Browser,Windows,262
2024-01-03,Firefox,Firefox OS,219
2024-01-03,Opera,Linux,201
2024-01-03,PaleMoon,Windows,189
2024-01-03,Chrome,Fuchsia,154
2024-01-03,Whale Browser,Android,154
2024-01-03,YaBrowser,Android,129
2024-01-03,SeaMonkey,Windows,127
2024-01-03,(not set),iOS,120
2024-01-03,Safari,Windows,109
2024-01-03,UC Browser,Android,108
2024-01-03,Safari,Playstation 4,104
2024-01-03,Opera Mini,(not set),103
2024-01-02,Chrome,Windows,973372
2024-01-02,Safari,iOS,913115
2024-01-02,Chrome,Android,510889
2024-01-02,Edge,Windows,389544
2024-01-02,Safari,Macintosh,295861
2024-01-02,Chrome,Macintosh,146450
2024-01-02,Chrome,Linux,117424
2024-01-02,Chrome,iOS,114600
2024-01-02,Firefox,Windows,112192
2024-01-02,Chrome,Chrome OS,107360
2024-01-02,Samsung Internet,Android,53212
2024-01-02,Internet Explorer,Windows,35386
2024-01-02,Safari (in-app),iOS,24823
2024-01-02,Firefox,Macintosh,22587
