exit_page,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
forecast.weather.gov/mapclick.php,37122324,66368759,8499037,1.7878395490540948,107.63515899489482,37122324
nhc.noaa.gov/,4954741,6690142,1315289,1.350250598366292,59.88992078496131,4954741
radar.weather.gov/,4361275,17962394,2774903,4.11861072736757,474.4666415211148,4361275
weather.gov/,4132150,6314792,2241607,1.5282097697324637,75.0623786648597,4132150
time.gov/,2289870,164988963,987889,72.05167236568015,5239.251468423971,2289870
(other),2094204,11770769,1737153,5.620641064576326,264.0724743148232,2094204
noaa.gov/,1756695,2071867,645130,1.1794119070185776,39.86624997509528,1756695
nhc.noaa.gov/gtwo.php?basin=atlc&fdays=7,1367450,3161507,477356,2.3119726498226627,68.85872609601813,1367450
nhc.noaa.gov/gtwo.php?basin=atlc&fdays=2,1182426,3005770,490249,2.542036457249756,74.85627599528428,1182426
forecast.weather.gov/product.php,1145065,3162864,350548,2.7621698331535764,150.64271809897255,1145065
nhc.noaa.gov/?atlc,1106198,1737723,143996,1.5708968918764996,57.106528849265686,1106198
aviationweather.gov/gfa/,837196,1782844,436621,2.129541947166494,147.20310417154406,837196
patentcenter.uspto.gov/,832446,1620907,220343,1.9471617378184292,140.9101491267902,832446
tsdr.uspto.gov/,830471,2980513,239296,3.588942901076618,365.86196989419255,830471
mobile.weather.gov/index.php,725086,1259209,137618,1.7366339992773272,86.91895168297278,725086
forecast.weather.gov/showsigwx.php,657540,1726113,393424,2.625107217811844,100.52741734343158,657540
star.nesdis.noaa.gov/goes/sector_band.php,621151,2124415,193408,3.420126507081209,426.26107017456303,621151
cbp.gov/travel/trusted-traveler-programs/global-entry,608280,924338,487306,1.5195929506148484,77.66724699151706,608280
marine.weather.gov/mapclick.php,566887,1203363,192664,2.1227563870753783,96.59030635735164,566887
aviationweather.gov/data/metar/,535556,1318620,121085,2.4621514836917147,262.8598428549022,535556
