domain,page,page_title,pageviews
www.time.gov,www.time.gov/,"National Institute of Standards and Technology | NIST",18965292
time.gov,time.gov/,"National Institute of Standards and Technology | NIST",16524986
(other),(other),(other),8309810
radar.weather.gov,radar.weather.gov/,NWS Radar,3763049
www.weather.gov,www.weather.gov/,National Weather Service,2939333
forecast.weather.gov,forecast.weather.gov/MapClick.php,National Weather Service,1026615
www.noaa.gov,www.noaa.gov/,National Oceanic and Atmospheric Administration,654154
www.nhc.noaa.gov,www.nhc.noaa.gov/,National Hurricane Center,386084
nist.time.gov,nist.time.gov/,"National Institute of Standards and Technology | NIST",307741
www.cbp.gov,www.cbp.gov/travel/trusted-traveler-programs/global-entry,"Global Entry | U.S. Customs and Border Protection",277660
www.weather.gov,www.weather.gov/wrh/timeseries,Time Series Viewer,261317
aviationweather-cprk.ncep.noaa.gov,aviationweather-cprk.ncep.noaa.gov/metar/data,AWC - METeorological Aerodrome Reports (METARs),227102
www.uspto.gov,www.uspto.gov/,United States Patent and Trademark Office,220186
radar.weather.gov,radar.weather.gov/?settings=v1_eyJhZ2VuZGEiOnsiaWQiOm51bGwsImNlbnRlciI6Wy05NSwzN10sImxvY2F0aW9uIjpudWxsLCJ6b29tIjo0fSwiYW5pbWF0aW5nIjpmYWxzZSwiYmFzZSI6InN0YW5kYXJkIiwiYXJ0Y2MiOmZhbHNlLCJjb3VudHkiOmZhbHNlLCJjd2EiOmZhbHNlLCJyZmMiOmZhbHNlLCJzdGF0ZSI6ZmFsc2UsIm1lbnUiOnRydWUsInNob3J0RnVzZWRPbmx5IjpmYWxzZSwib3BhY2l0eSI6eyJhbGVydHMiOjAuOCwibG9jYWwiOjAuNiwibG9jYWxTdGF0aW9ucyI6MC44LCJuYXRpb25hbCI6MC42fX0%3D,NWS Radar,215214
www.weather.gov,www.weather.gov/forecastmaps,National Forecast Maps,203952
www.spc.noaa.gov,www.spc.noaa.gov/products/outlook/,Storm Prediction Center Convective Outlooks,201601
timegov.boulder.nist.gov,timegov.boulder.nist.gov/,"National Institute of Standards and Technology | NIST",198930
aviationweather.gov,aviationweather.gov/,Aviation Weather Center,174819
www.spc.noaa.gov,www.spc.noaa.gov/,NOAA/NWS Storm Prediction Center,162865
bwt.cbp.gov,bwt.cbp.gov/,Border Wait Times,154363
